[1.14-13.82] 维维维能听到吗,同学们,电脑的桌面能看到吗,电脑的桌面可以看到吗?
[464.46-472.46] 我兼顾所有的小白,同时呢,我也兼顾一些有实战经验的一些老古民,就是我的一些老朋友吧
[472.46-477.46] 因为既然你们是我的朋友啊,你们把我当朋友了,我也把你们当朋友
[477.46-483.46] 所以说呢,我上课的时候可能会把你们当成真的小白来去对待,因为我是科班出身
[484.46-488.46] 大学就专门学这个金融方面的,所以说是科班出身
[488.46-492.46] 我尽量呢,讲的通俗一懂,让你们能从实战当中
[494.46-498.46] 我们要跟着趋势走,而不是去对抗,顺势而为
[499.46-507.46] 对,趋势第一,这里边呢,我给大家弄的第一大部分啊,第一大部分
[508.46-514.46] 就是看谈如何来去能够让大家能去听懂,能去听懂
[517.46-522.46] 又没有声音了,这应该不会没有声音,没有声音的话,咱们刷新一下
[522.46-527.46] 因为可能由于网络延迟的原因,可能会出现没有声音的情况
[527.46-530.46] 对,所以说网络延迟一下,可能会出现
[530.46-533.46] 那我把大家当朋友,然后你们也把我当朋友
[533.46-537.46] 你们就是我第一批的粉丝团,因为咱们都知道咱们的门槛不是很高
[537.46-541.46] 但是呢,我希望你们每个人都会去支持着我
[541.46-546.46] 然后呢,我也给大家去慢慢的教你们更多的东西,让你们去绑身
[546.46-551.46] 看盘这个东西呢,所以说在我们,看今天就是一样啊
[551.46-555.46] 今天就是对,讲大白话才能听懂,幼儿园级别的行,没问题
[555.46-558.46] 我就用白话给你们讲,因为大家既然都是小白
[558.46-563.46] 股市这个东西啊,其实你们小白能懂得一点
[563.46-568.46] 能懂得一点,咱们就不会在市场当中能吃亏
[568.46-573.46] 懂得什么呢,叫顺势操作,叫顺势操作
[573.46-576.46] 你看,我们既然是小白训练营
[576.46-580.46] 也成之为是第一期的学习营的训练营
[580.46-583.46] 我们把看盘看得非常重要,就是第一点
[583.46-587.46] 你必须得,现在有307人
[587.46-592.46] 必须得有,得有看盘的一些技巧和功底
[592.46-596.46] 对,你看今天我也有一些黑粉,说我莫及
[596.46-600.46] 怎么可能他是一个实战高手,他不想听我讲这些太白的东西
[600.46-605.46] 但是我得要兼顾很多人,所以说今天也是把我给伤到了
[605.46-609.46] 我觉得今天有一个小黑粉的存在
[609.46-612.46] 也是惹得我心情很不好
[612.46-616.46] 所以说呢,我们以后可能会把门槛提得非常高
[616.46-619.46] 就即便以后有人参加我的训练营
[619.46-622.46] 我也会逐步的把咱们的门槛提上来
[622.46-628.46] 比如说我们提到4000,提到5000,6000,8000,1万
[628.46-632.46] 甚至会更高,反正是有人愿意来就有人愿意来
[632.46-635.46] 我肯定不会以这种很低的门槛
[635.46-638.46] 去叫很多人参与到咱们这个阵营里边来
[638.46-640.46] 因为我会觉得我很有压力
[640.46-643.46] 所以大家也多多的理解,因为你们是第一批粉丝
[643.46-646.46] 我特别的喜欢你们这批人
[646.46-648.46] 而且我跟你们私下的交流
[648.46-651.46] 我也应该能感觉出来咱们就是一类人
[651.46-654.46] 心底都相对的善良,都想去学知识
[654.46-657.46] 谁也不说是想给谁怎么怎么着
[657.46-660.46] 所以说咱们算是物以类俱人与群分吧
[660.46-664.46] 那我就用我的方式给大家讲第一堂课
[665.46-670.46] 首先我们要降低一下对自己每天操盘的预期
[670.46-673.46] 因为既然你是主义是看盘的
[673.46-676.46] 因为你每天既然是主义是看盘的人
[676.46-679.46] 是操盘的人,每天也在盯着这个市场
[679.46-682.46] 但是我觉得给大家花一个预期
[682.46-685.46] 当你亏损的时候
[685.46-688.46] 你要想一想你持股
[688.46-690.46] 如果说这个是一家好公司
[690.46-693.46] 如果你能在顺势的情况下
[693.46-698.46] 比如说我们三个月只赚10%
[698.46-701.46] 打个比方,一年有多少个三个月呢
[701.46-705.46] 有四个三个月,那一年你就是40%
[705.46-707.46] 那我想问因为我们的同学们
[707.46-711.46] 一年40%高吗,还是低呢
[711.46-713.46] 这个收益,我想做一下调研
[713.46-717.46] 我看你们自己心里满不满足
[717.46-721.46] 认为赚多少钱是你们心里满足的
[721.46-724.46] 心里满足的收益比例
[724.46-725.46] 我想问一问你们
[725.46-731.82] 你们怎么来看待这个收益的
[731.82-733.82] 来打在咱们的公平上
[733.82-738.82] 你们是觉得赚40%、50%、10%、20%
[738.82-740.82] 还是翻倍还是两倍
[740.82-743.82] 我听听大家的piece,高了
[743.82-746.82] 够了
[746.82-749.82] 高是吗,40就是很高了是吧
[749.82-752.82] 那好,50、60那好
[752.82-754.82] 很不错了是吧
[754.82-756.82] 很不错了
[756.82-758.82] 那如果说完胜大盘
[758.82-760.82] 大盘涨不上40%
[760.82-762.82] 对,有赚就很知足
[762.82-765.82] 好了,大家既然说有赚就很知足了
[765.82-768.82] 其实有些时候我们利用三个月的时间
[768.82-770.82] 利用三个月的时间
[770.82-772.82] 你能赚到10%
[772.82-775.82] 其实一年下来你就是40%
[775.82-777.82] 如果用负利的计算方式你去算
[777.82-780.82] 其实一年下来你都不只是40%
[780.82-783.82] 甚至可能超过50%
[783.82-785.82] 所以说有的时候
[785.82-788.82] 如果连三天都等不了的
[788.82-791.82] 更何况去说三个月
[791.82-794.82] 有人只想在三天当中去抓10%
[794.82-797.82] 有这种心态的肯定是不行
[797.82-799.82] 所以说我们看盘的第一章
[799.82-801.82] 我们的第一个章节
[801.82-803.82] 大家来跟我一起去回顾一下
[803.82-804.82] 第一个章节
[804.82-806.82] 我们讲的是看盘
[806.82-809.82] 看盘里边我放在第一位的是什么呢
[809.82-812.82] 今天的这个章节
[812.82-814.82] 我给大家在昨天晚上
[814.82-816.82] 我昨天晚上并没有睡觉
[816.82-818.82] 睡得很晚大概都两点多钟了
[818.82-821.82] 我拧了一个简单的这样的一个小稿件
[821.82-824.82] 因为我平时讲课不用这些东西
[824.82-826.82] 我看了一下大家应该都属于小白
[826.82-828.82] 所以说我写一下吧
[828.82-830.82] 让你们好友的参考
[830.82-831.82] 不然的话弄课件
[831.82-833.82] 每天讲课都要写课件
[833.82-835.82] 去弄非常的麻烦
[835.82-836.82] 所以说我们第一节
[836.82-838.82] 我就先写个小课件
[838.82-839.82] 给大家多多包涵
[839.82-842.82] 有的时候我还可能会写不了课件
[842.82-843.82] 因为太忙了
[843.82-845.82] 对那十万赚到五万了
[845.82-847.82] 对啊就已经不少了
[847.82-849.82] 比银行存款要强了
[849.82-850.82] 所以说第一个看盘的
[850.82-853.82] 第一个看盘的部分
[853.82-855.82] 我把它称之为什么呢
[855.82-856.82] 把它称之为什么呢
[856.82-857.82] 我们看一下啊
[857.82-859.82] 叫稳定心态
[859.82-861.82] 做到长不喜
[861.82-862.82] 跌不悲
[862.82-863.82] 看不懂的
[863.82-865.82] 我们没有把握的不去做
[865.82-867.82] 把自己当成敌人
[867.82-869.82] 在容易赚钱的时候去出手
[869.82-872.82] 尽量在大盘状态合适的时候去做
[872.82-874.82] 看不懂的时候
[874.82-876.82] 你可以不去做
[876.82-877.82] 看得懂就去做
[877.82-878.82] 这样的话呢
[878.82-880.82] 你才能每一个阶段
[880.82-882.82] 才能在市场当中
[882.82-885.82] 能够赚到这40%
[885.82-886.82] 比如说行情不好的时候
[886.82-888.82] 你要学会休息
[888.82-890.82] 那咱们
[890.82-891.82] 咱们这里边的同学
[891.82-894.82] 是不是时时都在操作呢
[894.82-896.82] 如果总想每天都在操作的
[896.82-899.82] 你肯定赚不到40%
[899.82-901.82] 如果你懂得什么时候进
[901.82-902.82] 什么时候出
[902.82-905.82] 该休息的时候你该休息
[905.82-907.82] 当你看不懂这个行情的时候
[907.82-909.82] 你就不去做
[909.82-911.82] 就好比说9月10号
[911.82-913.82] 我说是一个临界点
[913.82-914.82] 那我呢对于我来说
[914.82-917.82] 我都已经有了80%的仓位
[917.82-919.82] 我都空出来了
[919.82-920.82] 因为我看不懂
[920.82-921.82] 接下来的市场了
[921.82-924.82] 这个臣妾很难做到啊
[925.82-927.82] 巴菲特说过保住本金
[927.82-930.82] 因为你想要赚到40%或50%
[930.82-933.82] 你必须要学会休息
[933.82-935.82] 你时时都想着去做
[935.82-938.82] 你肯定别说40% 50%了
[938.82-939.82] 甚至一年下来
[939.82-945.13] 你连4%和5%你都做不到
[945.13-946.13] 这是个真理
[946.13-948.13] 本金都折30%了
[948.13-950.13] 是吧 你看看
[950.13-952.13] 所以说我今天第一堂课
[952.13-955.13] 对赚自己认知范围内的钱
[956.13-959.13] 一定要听好我对市场的节奏
[959.13-960.13] 我直播的时候
[960.13-961.13] 我会去说节奏
[961.13-963.13] 大家跟着我的节奏去说
[963.13-965.13] 尤其是咱们训练营里边的同学
[965.13-968.13] 虽然咱们每星期除了节假日
[968.13-970.13] 只要在交易的时间段
[970.13-972.13] 咱们会讲一堂课
[972.13-973.13] 但是其他的时间段呢
[973.13-976.13] 我也会给群里更多的信息
[976.13-979.13] 和更多的消息给到咱们的同学
[979.13-982.13] 因为我觉得给大家多一些信息
[982.13-983.13] 多一些参考
[983.13-984.13] 你们就有一些认知了
[984.13-985.13] 慢慢的
[985.13-986.13] 我们在这一大段的时间呢
[986.13-988.13] 你跟着我的课去走
[988.13-989.13] 跟着我的节奏去走
[989.13-991.13] 我想必你肯定亏不了钱
[991.13-993.13] 所以说呢
[993.13-995.13] 这堂课价值万金
[995.13-996.13] 我觉得就是说
[996.13-997.13] 当你看不懂市场的时候
[997.13-999.13] 觉得市场不好做了就别做呗
[999.13-1001.13] 咱就休息休息
[1001.13-1002.13] 对不对
[1002.13-1003.13] 所以说呢
[1003.13-1005.13] 适当的看懂这个市场
[1005.13-1006.13] 就是如何看盘的第一点
[1006.13-1008.13] 你要有一个好心态
[1008.13-1009.13] 做到
[1009.13-1011.13] 就是不于误喜
[1011.13-1012.13] 不于几杯
[1012.13-1015.13] 对天天当新郎
[1015.13-1016.13] 就会舍
[1016.13-1017.13] 哈哈哈哈
[1017.13-1018.13] 龙先生天天当新郎
[1018.13-1020.13] 你肯定会舍呀
[1020.13-1022.13] 你的体力没那么好啊
[1022.13-1023.13] 你的体力没那么好
[1023.13-1024.13] 所以说呢
[1024.13-1026.13] 咱们在这个直播间
[1026.13-1027.13] 你们都是我的朋友
[1027.13-1029.13] 我把你们当家人看
[1029.13-1030.13] 所以说呢
[1030.13-1031.13] 我可以给你们开玩笑
[1031.13-1033.13] 你们也可以给我开玩笑
[1033.13-1034.13] 对不对
[1034.13-1035.13] 所以说咱们也不用说
[1035.13-1037.13] 咱们就当烙坑啊
[1037.13-1038.13] 就当聊天
[1038.13-1039.13] 聊着聊着
[1039.13-1041.13] 你就能把股市所有的密集
[1041.13-1042.13] 以及我懂的知识
[1042.13-1046.13] 全部灌输到你们的思想里了
[1046.13-1047.13] 所以说呀
[1047.13-1048.13] 今天第一堂课
[1048.13-1049.13] 我们讲的什么呢
[1049.13-1050.13] 稳定心态
[1050.13-1051.13] 做到掌不喜
[1051.13-1052.13] 跌不悲
[1052.13-1053.13] 看不懂的时候
[1053.13-1054.13] 我们没把握的时候
[1054.13-1055.13] 我们不去做
[1055.13-1057.13] 把自己当成敌人
[1057.13-1058.13] 在最容易赚钱的时候呢
[1058.13-1059.13] 你去出手
[1059.13-1060.13] 尽量在大盘
[1060.13-1062.13] 状态不好的时候
[1062.13-1063.13] 啊你不去做
[1063.13-1064.13] 看得懂的时候
[1064.13-1065.13] 单边的时候
[1065.13-1067.13] 你就去做
[1067.13-1068.13] 这样的话呢
[1068.13-1069.13] 三个月下来
[1069.13-1070.13] 百分之十
[1070.13-1071.13] 非常的容易
[1071.13-1072.13] 一年下来
[1072.13-1073.13] 百分之五十
[1073.13-1074.13] 我保你到手
[1074.13-1075.13] 能懂了吗
[1075.13-1077.13] 咱们懂的打个懂啊
[1077.13-1078.13] 这个礼拜一直亏
[1078.13-1079.13] 因为这个礼拜呀
[1079.13-1081.13] 是单边下跌
[1081.13-1083.13] 一直都是属于跌的
[1083.13-1084.13] 明天还得跌
[1084.13-1085.13] 因为明天是
[1085.13-1087.13] 估值期货的交割日
[1087.13-1088.13] 明天还会有一个
[1088.13-1089.13] 惯性下冲
[1089.13-1091.13] 明天还会有一个
[1091.13-1092.13] 做空的动能
[1092.13-1093.13] 直接砸一下
[1093.13-1094.13] 砸到三千六
[1094.13-1095.13] 甚至破一下
[1095.13-1096.13] 三千六
[1096.13-1098.13] 再撈起来啊
[1098.13-1099.13] 所以三千六
[1099.13-1100.13] 是一个核心的
[1100.13-1102.13] 重要的位置
[1102.13-1103.13] 重要的位置
[1103.13-1104.13] 这也就是我在
[1104.13-1107.13] 今天的石盘
[1107.13-1109.13] 包括下午直播的过程当中
[1109.13-1110.13] 给大家讲的
[1110.13-1111.13] 也就是我最近
[1111.13-1113.13] 在9月10号说到了
[1113.13-1115.13] 9月10号是个临界点
[1115.13-1117.13] 接下来你从进攻
[1117.13-1118.13] 进攻
[1118.13-1121.13] 什么叫进攻呢
[1121.13-1123.13] 进攻
[1123.13-1125.13] 从进啊
[1125.13-1126.13] 变成什么呢
[1126.13-1129.60] 变成手
[1130.60-1133.60] 从进到手的过程
[1133.60-1136.60] 从进到成手的过程
[1136.60-1138.60] 所以说明天
[1138.60-1139.60] 就是这样子
[1139.60-1141.60] 心态真的非常的重要
[1141.60-1142.60] 所以说我们第一节课
[1142.60-1144.60] 讲的就是看盘当中
[1144.60-1146.60] 你要有一个好心态
[1146.60-1148.60] 从进攻改成防守
[1148.60-1149.60] 这就是
[1149.60-1150.60] 把自己当敌人
[1150.60-1151.60] 对
[1151.60-1152.60] 你就把自己当敌人
[1152.60-1154.60] 你自己战胜不了自己的时候
[1154.60-1155.60] 就是拿不准的时候
[1155.60-1157.60] 你就别下这个单子
[1157.60-1158.60] 留着钱
[1158.60-1160.60] 等市场走好的时候
[1160.60-1161.60] 三个月当中
[1161.60-1163.60] 你只赚10%
[1163.60-1164.60] 你们的法宝
[1164.60-1165.60] 这50%的法宝
[1165.60-1168.94] 我已经给你们了
[1168.94-1170.94] 你们都听懂了是吧
[1170.94-1171.94] 这50%的收益
[1171.94-1173.94] 你们肯定能赚得到
[1173.94-1174.94] 我在年底
[1174.94-1175.94] 我在明年的
[1175.94-1178.94] 我在明年的这个9月份的时候
[1178.94-1180.94] 在明年的9月份的时候
[1180.94-1181.94] 我肯定能见证你们
[1181.94-1185.94] 至少不低于30%
[1185.94-1187.94] 好点的能达到3倍
[1187.94-1188.94] 中不溜的
[1188.94-1190.94] 我们至少能有50%的收益
[1190.94-1192.94] 只要你能把握好这一点
[1192.94-1193.94] 能懂这个逻辑
[1193.94-1196.94] 把这个逻辑印在你们的心里
[1196.94-1198.94] 记在你们的意识里
[1198.94-1199.94] 或者是写个小纸条
[1199.94-1201.94] 放在你们电脑的桌面
[1201.94-1202.94] 如果你想下单
[1202.94-1204.94] 就是这个道理
[1204.94-1206.94] 所以说在我的思想范围当中
[1206.94-1207.94] 你看我前两天
[1207.94-1210.94] 在咱们的群里发了我买
[1210.94-1211.94] 我买哪个票啊
[1211.94-1214.94] 我买的是秦川鸡床
[1214.94-1216.94] 我只买了2万多块钱
[1216.94-1217.94] 不到3万块的
[1217.94-1218.94] 你想想
[1218.94-1221.94] 我资金市值已经接近了500万
[1221.94-1223.94] 我的资金市值已经接近了500万
[1223.94-1225.94] 但是我只买了2、3万的
[1225.94-1226.94] 秦川鸡床
[1226.94-1227.94] 我只是再试一试
[1227.94-1228.94] 你们想想
[1228.94-1229.94] 我得有多可怜
[1229.94-1230.94] 说明了
[1230.94-1231.94] 我对这个市场
[1231.94-1232.94] 在9月10号
[1232.94-1233.94] 接下来的上
[1233.94-1235.94] 我不敢去碰触
[1235.94-1236.94] 不敢去拿
[1236.94-1237.94] 所以说我才用了
[1237.94-1238.94] 一丢丢的资金
[1238.94-1240.94] 去尝试着去做
[1240.94-1241.94] 这就是我在时刻
[1241.94-1243.94] 提醒着我自己
[1243.94-1244.94] 你以为我这几百万
[1244.94-1246.94] 我500万的市值
[1246.94-1249.94] 我这是家里有矿
[1249.94-1250.94] 我这个一点点
[1250.94-1252.94] 从市场当中赚到的
[1252.94-1253.94] 而并不说
[1253.94-1254.94] 说是家里有钱
[1254.94-1256.94] 给我的
[1256.94-1257.94] 所以说
[1257.94-1258.94] 这就是在时刻的
[1258.94-1259.94] 提醒着自己
[1259.94-1261.94] 9月10号是个临界点
[1261.94-1263.94] 9月10号之后
[1263.94-1264.94] 有进攻
[1264.94-1265.94] 改成防守
[1265.94-1267.94] 就是这道理
[1267.94-1268.94] 那好了
[1268.94-1269.94] 我们往下去看
[1269.94-1275.91] 我们往下去看
[1275.91-1281.24] 在看盘的过程当中
[1281.24-1283.24] 还有一个非常重要的
[1283.24-1284.24] 对 非常重要的一点
[1284.24-1286.24] 大家一定要记好
[1286.24-1288.24] 大家一定要记好
[1288.24-1289.24] 非常重要的一点是什么呢
[1289.24-1292.24] 就是我们需要看大事
[1292.24-1294.24] 叫顺势操作
[1294.24-1296.24] 什么叫顺势操作呢
[1296.24-1297.24] 顺势操作
[1297.24-1298.24] 就是说
[1298.24-1299.24] 行情起来
[1299.24-1300.24] 走单边的时候
[1300.24-1301.24] 你想一想
[1301.24-1302.24] 我们市场
[1302.24-1304.24] 是一轮往上走的市场
[1304.24-1305.24] 你在中间的
[1305.24-1307.24] 任何一波你去走
[1307.24-1308.24] 这10%
[1308.24-1311.24] 你肯定能赚得到
[1311.24-1312.24] 这10%
[1312.24-1313.24] 你肯定能赚得到
[1313.24-1315.24] 当市场是单边下跌
[1315.24-1316.24] 或个股
[1316.24-1318.24] 个股是单边下跌的时候
[1318.24-1319.24] 你看看
[1319.24-1320.24] 这么去走
[1320.24-1321.24] 你想赚
[1321.24-1323.24] 其中的差价这10%
[1323.24-1325.24] 是不好赚到的
[1325.24-1328.24] 是不好赚到的
[1328.24-1329.24] 所以说
[1329.24-1330.24] 顺势操作当中
[1330.24-1334.24] 拿10%很重要
[1334.24-1336.24] 我今天就想写下来
[1336.24-1337.24] 写墙上
[1337.24-1339.24] 终于进来了
[1339.24-1341.24] 挤出了一身汗
[1341.24-1342.24] 慢慢的来
[1342.24-1343.24] 我们的大美女
[1343.24-1344.24] 是吧
[1344.24-1345.24] 大美女
[1345.24-1346.24] 似水柔情
[1346.24-1347.24] 欢迎你进来
[1347.24-1349.24] 欢迎你进来
[1349.24-1351.24] 所以说你们经常
[1351.24-1352.24] 用你们的微信
[1352.24-1354.24] 能进不会手
[1354.24-1355.24] 金沙说的
[1355.24-1357.24] 能进不会
[1357.24-1358.24] 第一节课
[1358.24-1359.24] 一定要教你们
[1359.24-1360.24] 有一个好金态
[1360.24-1361.24] 教你们去顺势而为
[1361.24-1363.24] 看清方向很重要
[1363.24-1364.24] 对
[1364.24-1365.24] 不合趋势作对
[1365.24-1367.24] 我们的土豆妈咪
[1367.24-1369.24] 说的也非常的对
[1369.24-1370.24] 所以说
[1370.24-1372.24] 就是看趋势
[1372.24-1373.24] 去做股票
[1373.24-1375.24] 你永远都要记着
[1375.24-1376.24] 第二点
[1376.24-1377.24] 我们去看一下什么
[1377.24-1380.24] 看一下看成交量
[1380.24-1383.81] 看成交量
[1383.81-1384.81] 怎么看去
[1384.81-1385.81] 哈哈
[1385.81-1386.81] 谢谢老师
[1386.81-1387.81] 看成交量
[1387.81-1389.81] 就是说
[1389.81-1390.81] 我们经常说
[1390.81-1391.81] 看成交量
[1391.81-1392.81] 什么叫成交量
[1392.81-1394.81] 我给大家去演示一遍
[1394.81-1395.81] 什么去看
[1395.81-1397.81] 现在的市场
[1397.81-1399.81] 现在的市场
[1399.81-1400.81] 我们说
[1400.81-1401.81] 现在的市场
[1401.81-1403.81] 是什么趋势来
[1403.81-1404.81] 给大家演示一下
[1404.81-1405.81] 现在的市场
[1405.81-1408.81] 是一个什么趋势
[1408.81-1409.81] 这是年限
[1409.81-1411.81] 250日是年限
[1411.81-1413.81] 250日是
[1413.81-1419.30] 250日是年限
[1419.30-1421.30] 250这条线
[1421.30-1423.30] 只剩趋势望上走的
[1423.30-1425.30] 这一轮市场
[1425.30-1426.30] 走的是什么
[1426.30-1427.30] 如果按上证指数来说
[1427.30-1428.30] 这是一个
[1428.30-1430.30] 这是一个牛市
[1430.30-1432.30] 这是一个牛市
[1432.30-1433.30] 实际上
[1433.30-1434.30] 实际上
[1434.30-1436.30] 我们看到年限
[1436.30-1438.30] 我给大家消除一下
[1438.30-1439.30] 这样的话
[1439.30-1441.30] 你们看得会更真实一些
[1441.30-1443.30] 放大一下给你们
[1443.30-1446.78] 给你们放大一下
[1446.78-1447.78] 这一轮市场走的
[1447.78-1449.78] 其实是一轮牛市
[1449.78-1452.78] 从去年开始
[1452.78-1454.78] 从2019年
[1454.78-1456.78] 2020年
[1456.78-1458.78] 包括我们的2021年
[1458.78-1459.78] 现在
[1459.78-1460.78] 最高的位置
[1460.78-1462.78] 我们常说是3731
[1462.78-1465.78] 这一轮其实走的是牛市
[1465.78-1466.78] 但是
[1466.78-1468.78] 但是老师以后
[1468.78-1469.78] 群里的策略
[1469.78-1471.78] 能不能野大白话
[1471.78-1472.78] 群里的策略
[1472.78-1473.78] 因为我在
[1473.78-1474.78] 行
[1474.78-1476.78] 我尽量给你们的群
[1476.78-1477.78] 做个大白话
[1477.78-1478.78] 因为这个群策略
[1478.78-1479.78] 第一个策略
[1479.78-1480.78] 我是群发的
[1480.78-1481.78] 每个群都一样
[1481.78-1482.78] 行
[1482.78-1483.78] 我尽量用大白话去说
[1483.78-1484.78] 看清方向
[1484.78-1486.78] 不合趋势作对
[1486.78-1487.78] 对
[1487.78-1488.78] 这一轮走的
[1488.78-1489.78] 其实是牛市
[1489.78-1490.78] 但实际上
[1490.78-1491.78] 这一轮走的
[1491.78-1492.78] 是牛市
[1492.78-1494.78] 而是买对了是牛
[1494.78-1495.78] 买错了
[1495.78-1496.78] 就是群市
[1496.78-1497.78] 因为
[1497.78-1499.78] 这一轮是分化的市场
[1499.78-1501.78] 是结构性的行情
[1501.78-1502.78] 因为
[1502.78-1503.78] 谢谢老师
[1503.78-1505.78] 因为没声音
[1505.78-1506.78] 重新进一下
[1506.78-1507.78] 就会有声音了
[1507.78-1508.78] 没音了
[1508.78-1509.78] 重新进一下
[1509.78-1512.98] 就会有音了
[1512.98-1514.98] 重新进一下
[1514.98-1515.98] 不模糊
[1515.98-1516.98] 重新进一下
[1516.98-1523.21] 就会有声音了
[1523.21-1524.21] 重新进一下
[1524.21-1526.21] 就会有声音了
[1526.21-1529.21] 老师接电话吧
[1529.21-1530.21] 好了吧
[1530.21-1531.21] 重新进一下
[1531.21-1532.21] 就会有声音了
[1532.21-1535.55] 重新进一下
[1535.55-1537.55] 现在有声音
[1537.55-1539.55] 对清刷新就有声音
[1539.55-1540.55] 对刷新一下
[1540.55-1541.55] 可能
[1541.55-1542.55] 每个人的手机的
[1542.55-1543.55] 网速的不同
[1543.55-1546.55] 跟进的速度也会不同
[1546.55-1547.55] 每个人网速不同
[1547.55-1551.55] 跟进的速度也会不同
[1551.55-1552.55] 所以说你看
[1552.55-1553.55] 这一轮
[1553.55-1554.55] 这一轮
[1554.55-1555.55] 如果说我们需要看
[1555.55-1556.55] 看什么呢
